,hotel_name,id,hotel_price,hotel_nreview,hotel_one_review,hotel_rating,great_for_walker_rating,restaurants_nearby,nearby_attractions,ranking,description,location_rating,cleanliness_rating,service_rating,value_rating,QA_number,room_tips_number
0,Boston Park Plaza,property_111418,181,4203,"Located in Downtown, this metropolitan luxury hotel offers spacious rooms, a bar and locker rooms.",4.0,100.0,114.0,57.0,#53 of 96 hotels in Boston,"Authentic heritage and contemporary sophistication attract travelers from around the world to Boston's most beloved hotel: Boston Park Plaza. Guests quickly discover that the 1927 historic hotel is still timeless and always in-style. The hotel features 1,060 guestrooms, 57 suites, Leica Store and Gallery, exclusive access to Lynx Fitness Club and TopGolf Swing Suites, fine dining from STRIP by Strega and all-American fare by Off the Common. The Boston Park Plaza is located in historic Back Bay, just steps away from America's oldest public park, the Boston Common. Within walking distance: shopping on Newbury Street, Theatre and Financial Districts, Faneuil Hall Marketplace, and a host of other historical Boston sites. Looking for meeting or event space? We’ve got that and more to accommodate even the most high-powered affairs. Our beautifully renovated 13,215 sq. ft. ballroom and 32 individual conference rooms, adapt for a wide variety of events for groups of 10 to 2,200.",4.5,4.5,4.0,3.5,137.0,100.0
1,Beauport Hotel Gloucester,property_10408119,258,468,"Stylish high-end hotel featuring elegant marina-view rooms with a rooftop bar, a beach and a fitness center.",4.5,93.0,34.0,21.0,#3 of 7 hotels in Gloucester,"To our guests,​

We've missed you so much!  We can’t wait to welcome you back to Beauport Hotel here in Gloucester. These past few months have presented many challenges, as we navigate these times and develop a positive and safe way forward, one that best serves our guests and team. We’ve had to create and plan “new ways of hospitality” – committing to providing guest experiences at the same level that we always have, while adjusting to keep our guests and employees protected, our single and greatest priority.

Our reopening is guided by a comprehensive set of health safety and sanitation procedures, with consult from many government and health organizations, the American Hotel and Lodging Association, and our own founding - as well as the procurement of the very best sanitation resources, products, and practices. 

Please visit our website, <a data-encoded-url=""RmdrX2h0dHA6Ly9CZWF1cG9ydEhvdGVsLmNvbV83Rmg="" class=""_2wKz--mA a3Y9GQ0Y"" target=""_blank"" href=""http://BeauportHotel.com"">BeauportHotel.com</a> to see our comprehensive BSafe commitment to Health and Safety guidelines and protocols",5.0,5.0,4.5,4.0,10.0,100.0
2,Seaport Hotel,property_94330,359,5998,"Idyllic family-friendly hotel in Seaport District offering spacious ocean-view rooms with a breakfast buffet, bikes for guests and a heated pool.",4.5,98.0,57.0,7.0,#10 of 96 hotels in Boston,"The Seaport Hotel has re-opened, effective July 22nd, and the well-being of our guests, team members, vendors and community remains our highest priority.  We will continue to follow all Federal, State and Local regulations as we plan to welcome you back.   Should we need to revise our operation plans at any point based on their directions, we will certainly do so.  TAMO Bistro + Bar will reopen to the public on July 22 from 4 - 10 pm daily.  The Seaport Cafe will open on July 22, only to hotel guests, from 6:30 am - 2 pm.  Wave Health &amp; Fitness will reopen at a later date, however the swimming pool will open by August 6 to hotel guests but it will remain closed Mondays - Wednesdays.  Aura restaurant will remain closed.  Please note the Seaport Garage has been and continues to remain open. Our website will remain the best  source for updates and hours of operation – <a data-encoded-url=""eGdhX2h0dHA6Ly93d3cuc2VhcG9ydGJvc3Rvbi5jb21fdnRs"" class=""_2wKz--mA a3Y9GQ0Y"" target=""_blank"" href=""http://www.seaportboston.com"">www.seaportboston.com</a>.  We look forward to welcoming you back to Seaport.",4.5,5.0,5.0,4.5,104.0,100.0
3,The Charles Hotel,property_214890,301,2436,"Metropolitan business-friendly hotel offering spacious sleek rooms with bikes for guests, a heated pool and a bar.",4.5,100.0,95.0,32.0,#4 of 21 hotels in Cambridge,"Located just minutes from downtown Boston and a variety of world-class attractions, The Charles is a AAA Four Diamond Hotel and a proud member of Preferred Hotels and Resorts. Reflecting the eclecticism that is Cambridge, The Charles Hotel is a modern interpretation of New England hospitality with a thriving jazz club, the Regattabar; two signature restaurants: Henrietta's Table and Benedetto; seasonal farmers market; state of the art conference facilities; Corbu Spa &amp; Salon; and a central location in the heart of Harvard Square.",5.0,4.5,4.5,4.0,6.0,100.0
4,XV Beacon,property_94337,445,1264,"Romantic premium hotel in Downtown with chic rooms, a restaurant and a fitness center.",4.5,100.0,187.0,77.0,#19 of 96 hotels in Boston,"For a complete list of all we are doing please visit <a data-encoded-url=""OXFwX2h0dHA6Ly93d3cueHZiZWFjb24uY29tL2NvdmlkLTE5X3YxTw=="" class=""_2wKz--mA a3Y9GQ0Y"" target=""_blank"" href=""http://www.xvbeacon.com/covid-19"">www.xvbeacon.com/covid-19</a>",5.0,5.0,4.5,4.0,6.0,100.0
5,Omni Parker House,property_89599,222,9516,"Chic restored rooms in a quaint family-friendly hotel located in Downtown featuring a restaurant, hiking and a fitness center.",4.0,100.0,287.0,88.0,#58 of 96 hotels in Boston,"At Omni Hotels &amp; Resorts, the health and safety of our guests and associates has always been, and always will be, our top priority. COVID-19 has changed every facet of our world and the way we do business. In an effort to Stay A Part of Safety, we have updated our already thorough cleaning guidelines and implemented additional processes and procedures to ensure your health, safety and comfort as part of the new “Omni Safe &amp; Clean” initiative. The Omni Safe &amp; Clean initiative follows the guidelines set forth by the Centers for Disease Control and Prevention (CDC) and each individual Omni location will adhere to local and/or federal mandates. Protocols and guidelines from these authorities are expected to evolve, and as such, so will our below processes and procedures. Similarly, these guidelines meet or exceed the “Stay Safe” initiative set forth by the American Hotel &amp; Lodging Association (AHLA).",5.0,4.5,4.5,4.0,93.0,100.0
6,The Porches Inn at MASS MoCA,property_235273,157,954,"Lovely business-friendly hotel featuring snug rooms, board games and a breakfast buffet.",4.5,79.0,31.0,7.0,#1 of 3 hotels in North Adams,"The Porches Inn consists of seven renovated Victorian-era buildings that originally provided housing for the area’s mill workers. Located across the street from MASS MoCA, Porches’ guest rooms and public spaces employ a clever synthesis of retro and contemporary designs. The inn’s 47 rooms and suites are fully wired, offering free WiFi, BluRay/DVD players and complimentary DVDs. Porches' healthful continental breakfast is included in the room rate and may be eaten in the Breakfast Room, on the porch (weather permitting) or delivered to your room in the inn's signature metal lunchbox. The inn features a year-round heated outdoor pool, hot tub, sauna, bonfire pit, fitness room and meeting rooms for retreats and special events.",4.5,4.5,4.5,4.0,5.0,100.0
7,The Red Lion Inn,property_89873,170,1392,"Airy chic rooms in a romantic business-friendly hotel with a restaurant, evening entertainment and a hot tub.",4.0,72.0,10.0,7.0,,"Welcoming guests with genuine New England hospitality for over two centuries. Antique-filled rooms, suites, &amp; guesthouses. Contemporary regional cuisine, 3 restaurants, elegant &amp; casual indoor &amp; outdoor dining, award-winning wine list. Heated year-round outdoor pool &amp; hot tub, Gift Shop, WiFi. Live entertainment nightly in pub. Memorable weddings &amp; events. Small to mid-size meetings, unique spaces.",4.5,4.5,4.0,4.0,18.0,100.0
8,The Eliot Hotel,property_111423,395,1866,"Located in Back Bay, this romantic family-friendly hotel offers down-to-earth rooms, a bar and a concierge.",4.5,100.0,86.0,28.0,#2 of 96 hotels in Boston,"We hope this message finds you and your family safe and healthy. The unprecedented consequences of this pandemic have certainly been a challenge for us all. As we prepare for the eventual return to normalcy, we eagerly look forward to welcoming you to Boston and to The Eliot Hotel; your small, private and safe home away from home. Prospective guests can be assured that our suites will be prepared impeccably and our entire staff will be ready to provide the signature level of hospitality and service the Eliot is renowned for.

Thank you and stay safe!",5.0,4.5,4.5,4.0,29.0,100.0
9,Red Jacket Beach Resort,property_94048,150,768,"Welcoming mid-priced hotel offering bay-view rooms, a beach and a bar.",4.0,40.0,282.0,103.0,#5 of 21 hotels in South Yarmouth,"With 150 guest rooms and 14 multi-bedroom villas, the Red Jacket Beach Resort enjoys a fabulous location on 1,000 feet of private sandy beach on Nantucket Sound. Recently updated guest rooms; many offer spectacular views of the ocean. The resort features indoor/outdoor heated pools, as well as a zero-entry children's pool. The Kids' Club, a supervised children's program is offered during summer season along with family activities throughout the summer season on a complimentary basis. Also featuring on-site fishing, tennis, beach volleyball, and shuffleboard, with docking facilities available for small boats on Parker's River. The Red Jacket's dining room serves signature New England cuisine. The Red Jacket Beach is the perfect setting for corporate retreats, reunions, and tour groups, as well as for weddings and boasts 6,000 square feet of meeting and banquet space. Open from early April until late October.",4.5,4.0,4.0,3.5,33.0,100.0
